PEDIDO_ERP;CANAL_MARKETING
P10000138585;Google Ads
P10000138586;Busca orgânica
P10000138587;Email
P10000138588;Email
P10000138589;Google Ads
P10000138590;Google Ads
P10000138591;Busca orgânica
P10000138592;Google Ads
P10000138593;Google Ads
P10000138594;Google Ads
P10000138595;Busca orgânica
P10000138596;Referência
P10000138597;Direto
P10000138598;Busca orgânica
P10000138599;Google Ads
P10000138600;Google Ads
P10000138601;Busca orgânica
P10000138602;Busca orgânica
P10000138603;Direto
P10000138604;Google Ads
P10000138605;Busca orgânica
P10000138606;Facebook Ads
P10000138607;Google Ads
P10000138608;Direto
P10000138609;Facebook Ads
P10000138610;Facebook Ads
P10000138611;Google Ads
P10000138612;Facebook Ads
P10000138613;Email
P10000138614;Busca orgânica
P10000138615;
P10000138616;Busca orgânica
P10000138617;Facebook Ads
P10000138618;Facebook Ads
P10000138619;Google Ads
P10000138620;Referência
P10000138621;Google Ads
P10000138622;Outros
P10000138623;Busca orgânica
P10000138624;Busca orgânica
P10000138625;Busca orgânica
P10000138626;Google Ads
P10000138627;Google Ads
P10000138628;Busca orgânica
P10000138629;Facebook Ads
P10000138630;Busca orgânica
P10000138631;Facebook Ads
P10000138632;Google Ads
P10000138633;Email
P10000138634;Google Ads
P10000138635;Direto
P10000138636;Referência
P10000138637;Google Ads
P10000138638;Google Ads
P10000138639;Facebook Ads
P10000138640;Direto
P10000138641;Direto
P10000138642;Busca orgânica
P10000138643;Busca orgânica
P10000138644;Google Ads
P10000138645;Google Ads
P10000138646;Direto
P10000138647;Busca orgânica
P10000138648;Google Ads
P10000138649;Google Ads
P10000138650;
P10000138651;Busca orgânica
P10000138652;Busca orgânica
P10000138653;Direto
P10000138654;Google Ads
P10000138655;Google Ads
P10000138656;Google Ads
P10000138657;Direto
P10000138658;Busca orgânica
P10000138659;Facebook Ads
P10000138660;Google Ads
P10000138661;Google Ads
P10000138662;Referência
P10000138663;Busca orgânica
P10000138664;Busca orgânica
P10000138665;Facebook Ads
P10000138666;
P10000138667;Referência
P10000138668;Facebook Ads
P10000138669;Google Ads
P10000138670;Referência
P10000138671;Facebook Ads
P10000138672;Google Ads
P10000138673;Google Ads
P10000138674;Busca orgânica
P10000138675;Facebook Ads
P10000138676;Google Ads
P10000138677;Google Ads
P10000138678;Busca orgânica
P10000138679;Email
P10000138680;Referência
P10000138681;Google Ads
P10000138682;Google Ads
P10000138683;Direto
P10000138684;Google Ads
P10000138685;Facebook Ads
P10000138686;Direto
P10000138687;Google Ads
P10000138688;Direto
P10000138689;Direto
P10000138690;Facebook Ads
P10000138691;Email
P10000138692;Facebook Ads
P10000138693;Facebook Ads
P10000138694;Email
P10000138695;Google Ads
P10000138696;Google Ads
P10000138697;Busca orgânica
P10000138698;Direto
P10000138699;Google Ads
P10000138700;Email
P10000138701;Referência
P10000138702;
P10000138703;Google Ads
P10000138704;Facebook Ads
P10000138705;Busca orgânica
P10000138706;Google Ads
P10000138707;Outros
P10000138708;Google Ads
P10000138709;Google Ads
P10000138710;Busca orgânica
P10000138711;Google Ads
P10000138712;Direto
P10000138713;Referência
P10000138714;Google Ads
P10000138715;Google Ads
P10000138716;Facebook Ads
P10000138717;Facebook Ads
P10000138718;Email
P10000138719;Direto
P10000138720;Facebook Ads
P10000138721;Busca orgânica
P10000138722;Busca orgânica
P10000138723;Google Ads
P10000138724;Google Ads
P10000138725;Referência
P10000138726;Direto
P10000138727;Busca orgânica
P10000138728;Google Ads
P10000138729;
P10000138730;Google Ads
P10000138731;Facebook Ads
P10000138732;
P10000138733;Google Ads
P10000138734;Google Ads
P10000138735;
P10000138736;Google Ads
P10000138737;Google Ads
P10000138738;Busca orgânica
P10000138739;Google Ads
P10000138740;Outros
P10000138741;Referência
P10000138742;Outros
P10000138743;Facebook Ads
P10000138744;Busca orgânica
P10000138745;Busca orgânica
P10000138746;Google Ads
P10000138747;Busca orgânica
P10000138748;
P10000138749;Facebook Ads
P10000138750;Google Ads
P10000138751;Facebook Ads
P10000138752;Busca orgânica
P10000138753;Email
P10000138754;Direto
P10000138755;Busca orgânica
P10000138756;Google Ads
P10000138757;Google Ads
P10000138758;Google Ads
P10000138759;Busca orgânica
P10000138760;Direto
P10000138761;Google Ads
P10000138762;Busca orgânica
P10000138763;Direto
P10000138764;Google Ads
P10000138765;Busca orgânica
P10000138766;Google Ads
P10000138767;Busca orgânica
P10000138768;Google Ads
P10000138769;Google Ads
P10000138770;Facebook Ads
P10000138771;Google Ads
P10000138772;Busca orgânica
P10000138773;Facebook Ads
P10000138774;Direto
P10000138775;Google Ads
P10000138776;Direto
P10000138777;Google Ads
P10000138778;Email
P10000138779;Google Ads
P10000138780;Google Ads
P10000138781;Google Ads
P10000138782;Google Ads
P10000138783;Google Ads
P10000138784;Busca orgânica
P10000138785;Google Ads
P10000138786;Facebook Ads
P10000138787;Referência
P10000138788;Referência
P10000138789;Facebook Ads
P10000138790;Facebook Ads
P10000138791;Google Ads
P10000138792;Google Ads
P10000138793;Busca orgânica
P10000138794;Referência
P10000138795;Busca orgânica
P10000138796;Email
P10000138797;Referência
P10000138798;Direto
P10000138799;Busca orgânica
P10000138800;Busca orgânica
P10000138801;Google Ads
P10000138802;Referência
P10000138803;Busca orgânica
P10000138804;Email
P10000138805;Busca orgânica
P10000138806;Busca orgânica
P10000138807;Google Ads
P10000138808;Busca orgânica
P10000138809;Google Ads
P10000138810;Direto
P10000138811;Direto
P10000138812;Outros
P10000138813;Busca orgânica
P10000138814;Direto
P10000138815;Busca orgânica
P10000138816;Google Ads
P10000138817;Outros
P10000138818;Google Ads
P10000138819;Google Ads
P10000138820;Google Ads
P10000138821;Google Ads
P10000138822;Direto
P10000138823;Busca orgânica
P10000138824;Google Ads
P10000138825;Google Ads
P10000138826;Outros
P10000138827;Direto
P10000138828;Direto
P10000138829;Busca orgânica
P10000138830;Direto
P10000138831;
P10000138832;Referência
P10000138833;Direto
P10000138834;Google Ads
P10000138835;Google Ads
P10000138836;Google Ads
P10000138837;Google Ads
P10000138838;Google Ads
P10000138839;Google Ads
P10000138840;Google Ads
P10000138841;Facebook Ads
P10000138842;Google Ads
P10000138843;Google Ads
P10000138844;Direto
P10000138845;Google Ads
P10000138846;Busca orgânica
P10000138847;Facebook Ads
P10000138848;Google Ads
P10000138849;Facebook Ads
P10000138850;Facebook Ads
P10000138851;Busca orgânica
P10000138852;Facebook Ads
P10000138853;Direto
P10000138854;Direto
P10000138855;Busca orgânica
P10000138856;Direto
P10000138857;Referência
P10000138858;Busca orgânica
P10000138859;Facebook Ads
P10000138860;Referência
P10000138861;Google Ads
P10000138862;Google Ads
P10000138863;Google Ads
P10000138864;Google Ads
P10000138865;Google Ads
P10000138866;Google Ads
P10000138867;Google Ads
P10000138868;Facebook Ads
P10000138869;Facebook Ads
P10000138870;Referência
P10000138871;Google Ads
P10000138872;Google Ads
P10000138873;Busca orgânica
P10000138874;Referência
P10000138875;Direto
P10000138876;Outros
P10000138877;Facebook Ads
P10000138878;Busca orgânica
P10000138879;Google Ads
P10000138880;Facebook Ads
P10000138881;Direto
P10000138882;
P10000138883;Referência
P10000138884;Busca orgânica
P10000138885;Direto
P10000138886;Email
P10000138887;Google Ads
P10000138888;Busca orgânica
P10000138889;Facebook Ads
P10000138890;Google Ads
P10000138891;Google Ads
P10000138892;Google Ads
P10000138893;Google Ads
P10000138894;Email
P10000138895;Referência
P10000138896;Busca orgânica
P10000138897;Busca orgânica
P10000138898;Direto
P10000138899;Google Ads
P10000138900;Busca orgânica
P10000138901;Facebook Ads
P10000138902;Referência
P10000138903;Google Ads
P10000138904;Google Ads
P10000138905;Google Ads
P10000138906;Google Ads
P10000138907;Google Ads
P10000138908;Google Ads
P10000138909;Google Ads
P10000138910;Facebook Ads
P10000138911;
P10000138912;Email
P10000138913;Outros
P10000138914;Google Ads
P10000138915;Email
P10000138916;Referência
P10000138917;Busca orgânica
P10000138918;Google Ads
P10000138919;Facebook Ads
P10000138920;Google Ads
P10000138921;Google Ads
P10000138922;Google Ads
P10000138923;Google Ads
P10000138924;Google Ads
P10000138925;Outros
P10000138926;Google Ads
P10000138927;Google Ads
P10000138928;Busca orgânica
P10000138929;Busca orgânica
P10000138930;Busca orgânica
P10000138931;Busca orgânica
P10000138932;Busca orgânica
P10000138933;Google Ads
P10000138934;Referência
P10000138935;Google Ads
P10000138936;Google Ads
P10000138937;Busca orgânica
P10000138938;Google Ads
P10000138939;Busca orgânica
P10000138940;Google Ads
P10000138941;
P10000138942;Google Ads
P10000138943;Referência
P10000138944;Busca orgânica
P10000138945;Outros
P10000138946;Facebook Ads
P10000138947;Google Ads
P10000138948;Outros
P10000138949;Busca orgânica
P10000138950;Busca orgânica
P10000138951;Busca orgânica
P10000138952;Google Ads
P10000138953;Google Ads
P10000138954;
P10000138955;Facebook Ads
P10000138956;Busca orgânica
P10000138957;Google Ads
P10000138958;Direto
P10000138959;Referência
P10000138960;Google Ads
P10000138961;Facebook Ads
P10000138962;Busca orgânica
P10000138963;Google Ads
P10000138964;
P10000138965;Google Ads
P10000138966;Google Ads
P10000138967;Google Ads
P10000138968;Google Ads
P10000138969;Busca orgânica
P10000138970;Busca orgânica
P10000138971;Google Ads
P10000138972;Facebook Ads
P10000138973;Busca orgânica
P10000138974;
P10000138975;Direto
P10000138976;Busca orgânica
P10000138977;Google Ads
P10000138978;Google Ads
P10000138979;Busca orgânica
P10000138980;
P10000138981;Busca orgânica
P10000138982;Outros
P10000138983;Busca orgânica
P10000138984;
P10000138985;Google Ads
P10000138986;Busca orgânica
P10000138987;Busca orgânica
P10000138988;Busca orgânica
P10000138989;Direto
P10000138990;Direto
P10000138991;Busca orgânica
P10000138992;Google Ads
P10000138993;Busca orgânica
P10000138994;Busca orgânica
P10000138995;Facebook Ads
P10000138996;Referência
P10000138997;Google Ads
P10000138998;Google Ads
P10000138999;Busca orgânica
P10000139000;Google Ads
P10000139001;Busca orgânica
P10000139002;Busca orgânica
P10000139003;Google Ads
P10000139004;Google Ads
P10000139005;Google Ads
P10000139006;Google Ads
P10000139007;Outros
P10000139008;Email
P10000139009;Google Ads
P10000139010;Busca orgânica
P10000139011;Facebook Ads
P10000139012;Busca orgânica
P10000139013;Email
P10000139014;Google Ads
P10000139015;Google Ads
P10000139016;Direto
P10000139017;Google Ads
P10000139018;Google Ads
P10000139019;Busca orgânica
P10000139020;Google Ads
P10000139021;Busca orgânica
P10000139022;Direto
P10000139023;Direto
P10000139024;Busca orgânica
P10000139025;Google Ads
P10000139026;Email
P10000139027;Direto
P10000139028;Google Ads
P10000139029;Google Ads
P10000139030;
P10000139031;Referência
P10000139032;Facebook Ads
P10000139033;Google Ads
P10000139034;Outros
P10000139035;Google Ads
P10000139036;Google Ads
P10000139037;Google Ads
P10000139038;Google Ads
P10000139039;Google Ads
P10000139040;Outros
P10000139041;Facebook Ads
P10000139042;Google Ads
P10000139043;Busca orgânica
P10000139044;Outros
P10000139045;Busca orgânica
P10000139046;Google Ads
P10000139047;Busca orgânica
P10000139048;Busca orgânica
P10000139049;Facebook Ads
P10000139050;Google Ads
P10000139051;Facebook Ads
P10000139052;Facebook Ads
P10000139053;Busca orgânica
P10000139054;Google Ads
P10000139055;Google Ads
P10000139056;Outros
P10000139057;Facebook Ads
P10000139058;Busca orgânica
P10000139059;Google Ads
P10000139060;Direto
P10000139061;Google Ads
P10000139062;Google Ads
P10000139063;Facebook Ads
P10000139064;Google Ads
P10000139065;Google Ads
P10000139066;Busca orgânica
P10000139067;Busca orgânica
P10000139068;Busca orgânica
P10000139069;Busca orgânica
P10000139070;Google Ads
P10000139071;Google Ads
P10000139072;
P10000139073;Direto
P10000139074;Direto
P10000139075;Google Ads
P10000139076;Facebook Ads
P10000139077;Google Ads
P10000139078;
P10000139079;Google Ads
P10000139080;Direto
P10000139081;Google Ads
P10000139082;Direto
P10000139083;Google Ads
P10000139084;Google Ads
P10000139085;Facebook Ads
P10000139086;Google Ads
P10000139087;Facebook Ads
P10000139088;Google Ads
P10000139089;Busca orgânica
P10000139090;Busca orgânica
P10000139091;Direto
P10000139092;Google Ads
P10000139093;Facebook Ads
P10000139094;Google Ads
P10000139095;Google Ads
P10000139096;Google Ads
P10000139097;Google Ads
P10000139098;Referência
P10000139099;Direto
P10000139100;Google Ads
P10000139101;Busca orgânica
P10000139102;Direto
P10000139103;Referência
P10000139104;Google Ads
P10000139105;Direto
P10000139106;Direto
P10000139107;Google Ads
P10000139108;Busca orgânica
P10000139109;Facebook Ads
P10000139110;Google Ads
P10000139111;Google Ads
P10000139112;Facebook Ads
P10000139113;Direto
P10000139114;Google Ads
P10000139115;Busca orgânica
P10000139116;Google Ads
P10000139117;Referência
P10000139118;Google Ads
P10000139119;Google Ads
P10000139120;Busca orgânica
P10000139121;Google Ads
P10000139122;Busca orgânica
P10000139123;Referência
P10000139124;Direto
P10000139125;Busca orgânica
P10000139126;Busca orgânica
P10000139127;Google Ads
P10000139128;Facebook Ads
P10000139129;Google Ads
P10000139130;Google Ads
P10000139131;Google Ads
P10000139132;Google Ads
P10000139133;Referência
P10000139134;Facebook Ads
P10000139135;
P10000139136;Referência
P10000139137;Google Ads
P10000139138;Busca orgânica
P10000139139;Busca orgânica
P10000139140;Busca orgânica
P10000139141;Google Ads
P10000139142;Google Ads
P10000139143;Busca orgânica
P10000139144;Google Ads
P10000139145;Google Ads
P10000139146;Busca orgânica
P10000139147;Facebook Ads
P10000139148;Facebook Ads
P10000139149;Google Ads
P10000139150;Facebook Ads
P10000139151;Direto
P10000139152;Direto
P10000139153;Google Ads
P10000139154;Email
P10000139155;Busca orgânica
P10000139156;Busca orgânica
P10000139157;Google Ads
P10000139158;Busca orgânica
P10000139159;Google Ads
P10000139160;Facebook Ads
P10000139161;Google Ads
P10000139162;Email
P10000139163;Email
P10000139164;Busca orgânica
P10000139165;Facebook Ads
P10000139166;Busca orgânica
P10000139167;Google Ads
P10000139168;Google Ads
P10000139169;Outros
P10000139170;Facebook Ads
P10000139171;Direto
P10000139172;Google Ads
P10000139173;
P10000139174;Direto
P10000139175;Facebook Ads
P10000139176;Referência
P10000139177;Referência
P10000139178;Google Ads
P10000139179;
P10000139180;Outros
P10000139181;Google Ads
P10000139182;Google Ads
P10000139183;Google Ads
P10000139184;Direto
P10000139185;Email
P10000139186;Facebook Ads
P10000139187;Direto
P10000139188;Referência
P10000139189;Google Ads
P10000139190;Busca orgânica
P10000139191;Google Ads
P10000139192;Google Ads
P10000139193;Google Ads
P10000139194;Google Ads
P10000139195;Google Ads
P10000139196;Outros
P10000139197;Google Ads
P10000139198;Referência
P10000139199;Busca orgânica
P10000139200;Outros
P10000139201;Outros
P10000139202;Facebook Ads
P10000139203;Google Ads
P10000139204;Google Ads
P10000139205;Google Ads
P10000139206;Outros
P10000139207;Google Ads
P10000139208;Direto
P10000139209;Google Ads
P10000139210;Busca orgânica
P10000139211;Google Ads
P10000139212;Google Ads
P10000139213;Google Ads
P10000139214;Referência
P10000139215;Google Ads
P10000139216;Google Ads
P10000139217;Google Ads
P10000139218;Google Ads
P10000139219;Busca orgânica
P10000139220;Email
P10000139221;Google Ads
P10000139222;Google Ads
P10000139223;Google Ads
P10000139224;Google Ads
P10000139225;Referência
P10000139226;Google Ads
P10000139227;Google Ads
P10000139228;Google Ads
P10000139229;Google Ads
P10000139230;Google Ads
P10000139231;Busca orgânica
P10000139232;Outros
P10000139233;Google Ads
P10000139234;Busca orgânica
P10000139235;Google Ads
P10000139236;Busca orgânica
P10000139237;Direto
P10000139238;Google Ads
P10000139239;Busca orgânica
P10000139240;Google Ads
P10000139241;Outros
P10000139242;Busca orgânica
P10000139243;Google Ads
P10000139244;Busca orgânica
P10000139245;Referência
P10000139246;Referência
P10000139247;Busca orgânica
P10000139248;Busca orgânica
P10000139249;Direto
P10000139250;Outros
P10000139251;Direto
P10000139252;Busca orgânica
P10000139253;Google Ads
P10000139254;Facebook Ads
P10000139255;Google Ads
P10000139256;Facebook Ads
P10000139257;Google Ads
P10000139258;Direto
P10000139259;Busca orgânica
P10000139260;Google Ads
P10000139261;Email
P10000139262;Google Ads
P10000139263;Google Ads
P10000139264;Email
P10000139265;Busca orgânica
P10000139266;Google Ads
P10000139267;Direto
P10000139268;Outros
P10000139269;Busca orgânica
P10000139270;
P10000139271;Busca orgânica
P10000139272;Referência
P10000139273;Google Ads
P10000139274;Google Ads
P10000139275;Busca orgânica
P10000139276;Busca orgânica
P10000139277;Busca orgânica
P10000139278;Busca orgânica
P10000139279;Email
P10000139280;Google Ads
P10000139281;Google Ads
P10000139282;Google Ads
P10000139283;Email
P10000139284;Google Ads
P10000139285;Direto
P10000139286;Google Ads
P10000139287;Busca orgânica
P10000139288;Busca orgânica
P10000139289;Facebook Ads
P10000139290;Google Ads
P10000139291;Google Ads
P10000139292;Google Ads
P10000139293;Outros
P10000139294;Facebook Ads
P10000139295;Google Ads
P10000139296;Google Ads
P10000139297;Direto
P10000139298;Google Ads
P10000139299;Busca orgânica
P10000139300;Referência
P10000139301;Google Ads
P10000139302;Google Ads
P10000139303;Direto
P10000139304;Direto
P10000139305;Google Ads
P10000139306;Facebook Ads
P10000139307;Google Ads
P10000139308;Google Ads
P10000139309;Google Ads
P10000139310;Referência
P10000139311;Outros
P10000139312;Google Ads
P10000139313;
P10000139314;Google Ads
P10000139315;Google Ads
P10000139316;Google Ads
P10000139317;Busca orgânica
P10000139318;Google Ads
P10000139319;Direto
P10000139320;Google Ads
P10000139321;Google Ads
P10000139322;Outros
P10000139323;Google Ads
P10000139324;Google Ads
P10000139325;Google Ads
P10000139326;Google Ads
P10000139327;Direto
P10000139328;Busca orgânica
P10000139329;Outros
P10000139330;Facebook Ads
P10000139331;Busca orgânica
P10000139332;Google Ads
P10000139333;Facebook Ads
P10000139334;Outros
P10000139335;Google Ads
P10000139336;Busca orgânica
P10000139337;Busca orgânica
P10000139338;Busca orgânica
P10000139339;Google Ads
P10000139340;Google Ads
P10000139341;Busca orgânica
P10000139342;Busca orgânica
P10000139343;Outros
P10000139344;Busca orgânica
P10000139345;Referência
P10000139346;Busca orgânica
P10000139347;Google Ads
P10000139348;Busca orgânica
P10000139349;Outros
P10000139350;Busca orgânica
P10000139351;Facebook Ads
P10000139352;
P10000139353;Facebook Ads
P10000139354;Busca orgânica
P10000139355;Direto
P10000139356;Google Ads
P10000139357;Email
P10000139358;Facebook Ads
P10000139359;Google Ads
P10000139360;Referência
P10000139361;Google Ads
P10000139362;Outros
P10000139363;
P10000139364;Referência
P10000139365;Facebook Ads
P10000139366;Busca orgânica
P10000139367;Referência
P10000139368;Email
P10000139369;Facebook Ads
P10000139370;Facebook Ads
P10000139371;Busca orgânica
P10000139372;Email
P10000139373;Google Ads
P10000139374;Outros
P10000139375;Google Ads
P10000139376;Busca orgânica
P10000139377;Google Ads
P10000139378;Referência
P10000139379;Busca orgânica
P10000139380;Facebook Ads
P10000139381;Direto
P10000139382;Outros
P10000139383;Google Ads
P10000139384;Busca orgânica
P10000139385;Google Ads
P10000139386;Busca orgânica
P10000139387;Direto
P10000139388;Busca orgânica
P10000139389;Google Ads
P10000139390;Referência
P10000139391;Direto
P10000139392;Facebook Ads
P10000139393;Facebook Ads
P10000139394;Google Ads
P10000139395;Google Ads
P10000139396;Google Ads
P10000139397;Referência
P10000139398;Busca orgânica
P10000139399;Direto
P10000139400;Facebook Ads
P10000139401;Busca orgânica
P10000139402;Referência
P10000139403;Facebook Ads
P10000139404;Referência
P10000139405;Google Ads
P10000139406;Busca orgânica
P10000139407;Google Ads
P10000139408;Referência
P10000139409;Google Ads
P10000139410;Google Ads
P10000139411;Google Ads
P10000139412;Google Ads
P10000139413;Busca orgânica
P10000139414;Google Ads
P10000139415;Google Ads
P10000139416;Google Ads
P10000139417;Busca orgânica
P10000139418;Google Ads
P10000139419;Google Ads
P10000139420;Google Ads
P10000139421;Outros
P10000139422;Busca orgânica
P10000139423;Google Ads
P10000139424;Google Ads
P10000139425;Facebook Ads
P10000139426;Google Ads
P10000139427;Google Ads
P10000139428;Busca orgânica
P10000139429;Google Ads
P10000139430;Google Ads
P10000139431;Google Ads
P10000139432;Google Ads
P10000139433;Google Ads
P10000139434;Busca orgânica
P10000139435;Busca orgânica
P10000139436;Busca orgânica
P10000139437;Google Ads
P10000139438;Busca orgânica
P10000139439;Google Ads
P10000139440;Google Ads
P10000139441;Busca orgânica
P10000139442;Facebook Ads
P10000139443;Busca orgânica
P10000139444;Direto
P10000139445;Google Ads
P10000139446;Busca orgânica
P10000139447;Google Ads
P10000139448;Direto
P10000139449;Email
P10000139450;Email
P10000139451;Email
P10000139452;Busca orgânica
P10000139453;Direto
P10000139454;Referência
P10000139455;Facebook Ads
P10000139456;Google Ads
P10000139457;Facebook Ads
P10000139458;Busca orgânica
P10000139459;Email
P10000139460;Busca orgânica
P10000139461;Direto
P10000139462;Referência
P10000139463;Google Ads
P10000139464;Referência
P10000139465;Google Ads
P10000139466;Direto
P10000139467;Busca orgânica
P10000139468;Google Ads
P10000139469;Referência
P10000139470;Busca orgânica
P10000139471;Facebook Ads
P10000139472;Busca orgânica
P10000139473;Referência
P10000139474;Google Ads
P10000139475;Google Ads
P10000139476;Facebook Ads
P10000139477;Busca orgânica
P10000139478;Outros
P10000139479;Busca orgânica
P10000139480;Google Ads
P10000139481;Referência
P10000139482;Google Ads
P10000139483;Google Ads
P10000139484;Google Ads
P10000139485;Busca orgânica
P10000139486;Google Ads
P10000139487;Facebook Ads
P10000139488;Email
P10000139489;Google Ads
P10000139490;Google Ads
P10000139491;Referência
P10000139492;Email
P10000139493;Busca orgânica
P10000139494;Google Ads
P10000139495;Facebook Ads
P10000139496;Google Ads
P10000139497;Facebook Ads
P10000139498;Busca orgânica
P10000139499;Google Ads
P10000139500;Busca orgânica
P10000139501;Busca orgânica
P10000139502;Google Ads
P10000139503;Google Ads
P10000139504;Google Ads
P10000139505;Facebook Ads
P10000139506;Facebook Ads
P10000139507;Google Ads
P10000139508;Google Ads
P10000139509;Google Ads
P10000139510;Referência
P10000139511;Google Ads
P10000139512;Facebook Ads
P10000139513;Busca orgânica
P10000139514;Google Ads
P10000139515;Referência
P10000139516;Google Ads
P10000139517;Referência
P10000139518;Google Ads
P10000139519;Busca orgânica
P10000139520;Google Ads
P10000139521;Direto
P10000139522;Google Ads
P10000139523;Direto
P10000139524;Busca orgânica
P10000139525;Google Ads
P10000139526;Google Ads
P10000139527;Google Ads
P10000139528;Busca orgânica
P10000139529;Busca orgânica
P10000139530;Outros
P10000139531;Busca orgânica
P10000139532;Google Ads
P10000139533;
P10000139534;Google Ads
P10000139535;Facebook Ads
P10000139536;Google Ads
P10000139537;Google Ads
P10000139538;Busca orgânica
P10000139539;Google Ads
P10000139540;Busca orgânica
P10000139541;Direto
P10000139542;Busca orgânica
P10000139543;Google Ads
P10000139544;Busca orgânica
P10000139545;Google Ads
P10000139546;Direto
P10000139547;Google Ads
P10000139548;Google Ads
P10000139549;Direto
P10000139550;Google Ads
P10000139551;Busca orgânica
P10000139552;Google Ads
P10000139553;Busca orgânica
P10000139554;Google Ads
P10000139555;Busca orgânica
P10000139556;Outros
P10000139557;Busca orgânica
P10000139558;Google Ads
P10000139559;Google Ads
P10000139560;Google Ads
P10000139561;Outros
P10000139562;Busca orgânica
P10000139563;Google Ads
P10000139564;Busca orgânica
P10000139565;Busca orgânica
P10000139566;Google Ads
P10000139567;Outros
P10000139568;Busca orgânica
P10000139569;Email
P10000139570;Google Ads
P10000139571;Busca orgânica
P10000139572;Google Ads
P10000139573;Google Ads
P10000139574;Google Ads
P10000139575;Google Ads
P10000139576;Google Ads
P10000139577;Email
P10000139578;Direto
P10000139579;Busca orgânica
P10000139580;Busca orgânica
P10000139581;Google Ads
P10000139582;Busca orgânica
P10000139583;Email
P10000139584;Google Ads
P10000139585;Google Ads
P10000139586;Busca orgânica
P10000139587;Referência
P10000139588;Google Ads
P10000139589;Google Ads
P10000139590;Busca orgânica
P10000139591;Google Ads
P10000139592;Direto
P10000139593;Direto
P10000139594;Google Ads
P10000139595;Busca orgânica
P10000139596;Referência
P10000139597;Facebook Ads
P10000139598;Busca orgânica
P10000139599;Google Ads
P10000139600;Google Ads
P10000139601;Direto
P10000139602;Google Ads
P10000139603;Google Ads
P10000139604;Busca orgânica
P10000139605;Google Ads
P10000139606;Busca orgânica
P10000139607;Email
P10000139608;Email
P10000139609;Outros
P10000139610;Google Ads
P10000139611;Facebook Ads
P10000139612;Google Ads
P10000139613;Google Ads
P10000139614;Google Ads
P10000139615;Referência
P10000139616;Email
P10000139617;Google Ads
P10000139618;Email
P10000139619;Google Ads
P10000139620;Google Ads
P10000139621;Referência
P10000139622;Direto
P10000139623;Busca orgânica
P10000139624;Google Ads
P10000139625;Busca orgânica
P10000139626;Google Ads
P10000139627;Facebook Ads
P10000139628;Google Ads
P10000139629;Busca orgânica
P10000139630;Google Ads
P10000139631;Email
P10000139632;Referência
P10000139633;Facebook Ads
P10000139634;Direto
P10000139635;Outros
P10000139636;Busca orgânica
P10000139637;Google Ads
P10000139638;Direto
P10000139639;Busca orgânica
P10000139640;Google Ads
P10000139641;Google Ads
P10000139642;Outros
P10000139643;Google Ads
P10000139644;Google Ads
P10000139645;Google Ads
P10000139646;Google Ads
P10000139647;Google Ads
P10000139648;Google Ads
P10000139649;Google Ads
P10000139650;Google Ads
P10000139651;Referência
P10000139652;Google Ads
P10000139653;Email
P10000139654;Busca orgânica
P10000139655;Facebook Ads
P10000139656;Google Ads
P10000139657;Direto
P10000139658;Google Ads
P10000139659;Referência
P10000139660;Google Ads
P10000139661;Google Ads
P10000139662;Google Ads
P10000139663;Google Ads
P10000139664;Google Ads
P10000139665;Busca orgânica
P10000139666;Outros
P10000139667;Direto
P10000139668;Google Ads
P10000139669;Direto
P10000139670;Busca orgânica
P10000139671;Google Ads
P10000139672;Facebook Ads
P10000139673;Google Ads
P10000139674;Google Ads
P10000139675;Direto
P10000139676;Busca orgânica
P10000139677;Google Ads
P10000139678;Facebook Ads
P10000139679;Google Ads
P10000139680;Google Ads
P10000139681;Facebook Ads
P10000139682;Busca orgânica
P10000139683;Outros
P10000139684;Google Ads
P10000139685;Referência
P10000139686;Google Ads
P10000139687;Busca orgânica
P10000139688;Busca orgânica
P10000139689;Direto
P10000139690;Referência
P10000139691;Google Ads
P10000139692;Busca orgânica
P10000139693;Google Ads
P10000139694;Facebook Ads
P10000139695;Outros
P10000139696;Google Ads
P10000139697;Busca orgânica
P10000139698;Facebook Ads
P10000139699;Google Ads
P10000139700;Outros
P10000139701;Busca orgânica
P10000139702;Busca orgânica
P10000139703;Facebook Ads
P10000139704;Google Ads
P10000139705;Facebook Ads
P10000139706;Direto
P10000139707;Google Ads
P10000139708;Google Ads
P10000139709;Google Ads
P10000139710;Google Ads
P10000139711;Busca orgânica
P10000139712;Google Ads
P10000139713;Google Ads
P10000139714;Referência
P10000139715;Busca orgânica
P10000139716;Referência
P10000139717;Google Ads
P10000139718;Google Ads
P10000139719;Google Ads
P10000139720;Google Ads
P10000139721;Google Ads
P10000139722;Google Ads
P10000139723;Outros
P10000139724;Google Ads
P10000139725;Google Ads
P10000139726;Busca orgânica
P10000139727;Busca orgânica
P10000139728;Busca orgânica
P10000139729;
P10000139730;Busca orgânica
P10000139731;Referência
P10000139732;Direto
P10000139733;Email
P10000139734;Email
P10000139735;Email
P10000139736;Referência
P10000139737;Google Ads
P10000139738;Busca orgânica
P10000139739;Google Ads
P10000139740;Google Ads
P10000139741;Facebook Ads
P10000139742;Busca orgânica
P10000139743;Facebook Ads
P10000139744;Google Ads
P10000139745;Google Ads
P10000139746;Google Ads
P10000139747;Facebook Ads
P10000139748;Email
P10000139749;Google Ads
P10000139750;Busca orgânica
P10000139751;Google Ads
